algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.45879548877477644,1.972606943845749,nan,0.5606621503829956,0.5639237318436304,1000.0,nan,nan,0,0,0,50158,0.019060445256894678,1.906044525689468,224.26490783691406,225.56935465494792,1.0,1.0,224.26490783691406,225.56935465494792,1.0,1.0,1.0,1.0,959.345279670674,959.3728678985516,1.1512508935164383,0.9321785469853499,1.0,1.0,136.2386724243164,579.4611018578137
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,1,1.9455640088267214,0.5724554854631424,1.7058615881204604,nan,0.5589944322903951,0.9657203676303228,1000.0,0.0,nan,0,12,0,51198,0.13510979829435782,1.937322577348106,223.59742863972983,250.4936609395345,0.9900498337491682,1.110628934795722,223.59742863972983,250.4936609395345,1.0,0.8782090588410696,0.9900498337491682,1.110628934795722,1085.8499594767363,1223.037789026548,1.2164374657266066,0.936232858617627,0.8828933258087207,1.1059912770631621,155.6625348510742,759.8830724433706
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,2,2.054804216488522,0.6223174840211868,1.4814791494607926,nan,0.5533000032107035,1.5320956194400788,1000.0,nan,nan,0,0,0,51100,0.22363997897057375,2.0285947264210136,221.31918674045139,231.66731948852538,0.9801986733067553,1.0268119676476999,221.31918674045139,231.66731948852538,1.0,0.9524450546503067,0.9801986733067553,1.0268119676476999,1180.6086736844545,1221.4989967676543,1.3066128274408375,0.9674278088425533,0.9538301501459289,1.025454298880488,142.98413705444335,754.1503541869129
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,3,2.1999899930986886,0.6509829840064049,1.3054122239351273,nan,0.5836300381592342,2.013120108048121,1000.0,0.0,nan,0,139,0,51103,0.35477156616375294,2.1568486076930524,219.52968379429407,227.2658368428548,0.9723955677526188,1.0070777947309015,219.52968379429407,227.2658368428548,0.9979905784130096,0.9622521203756332,0.9723955677526188,1.0070777947309015,1322.871778497931,1318.8039180531023,1.436017791081333,1.0045327857223458,0.9638455548104207,1.0055314534006596,142.50633325195312,828.3227606298034
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,4,2.3745962280820767,0.6733224835991859,1.1758885657787324,nan,0.5942830178472731,2.448995438416799,1000.0,nan,nan,0,0,0,50968,0.43735997699829854,2.304386026745901,217.6535356309679,225.47867833455405,0.9663484348393793,0.9993569520418822,217.6535356309679,225.47867833455405,0.994214137395223,0.9598585170507431,0.9663484348393793,0.9993569520418822,1522.04012676669,1457.46985895755,1.55757560684686,1.0529061742046881,0.9608591661869901,0.9983955389194792,139.20497064208985,901.8786376563306
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,5,2.4553852114149324,0.6906049832701683,1.0818157440423966,nan,0.7693233688672384,2.843933146794637,1000.0,nan,nan,0,0,0,50564,0.4711827520263454,2.430893286263668,219.65291341145834,224.869975789388,0.9767472224208048,0.9970198975816387,219.65291341145834,224.869975789388,0.9731738766034445,0.9518617991606394,0.9767472224208048,0.9970198975816387,1741.517728951583,1591.7581004817423,1.6470090725687392,1.1007517389292127,0.952279683032067,0.9966223941471125,137.55782043457032,975.9530730364644
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,6,2.5027469096896486,0.7020879825949669,1.0116738206148148,nan,0.6591625383922032,3.2048497788111368,1000.0,0.0,nan,0,10,0,50636,0.5262532272369372,2.476081873546736,218.15820966448103,224.7130965677897,0.9644177049921483,0.9964143532640231,218.15820966448103,224.7130965677897,0.9759460347039359,0.9419708242019017,0.9644177049921483,0.9964143532640231,2023.0580304764385,1689.9713815792193,1.6961504150228166,1.1084404769514107,0.9427455032687234,0.9956847879939803,137.88207287597658,1042.3056413742017
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,7,2.5494030877626073,0.7099554818868637,0.9578725814819335,nan,0.5731396930558341,3.5438230125109356,1000.0,0.0,nan,0,60,0,51426,0.659320625684745,2.515001372079115,216.39601571219308,224.28649841308595,0.9602108473239407,0.9943527554649182,216.39601571219308,224.28649841308595,0.9701660105160305,0.933548534711202,0.9602108473239407,0.9943527554649182,2272.537044153648,1719.4545739525156,1.7727290735213672,1.0943400706896107,0.9351811610209714,0.9928305047834733,140.63098748779296,1095.3037816078113
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,8,2.597945115630111,0.7162984839081764,0.9149510607123374,nan,0.6579979022343954,3.871154721577962,1000.0,0.0,nan,0,84,0,51586,0.7868463602486195,2.55633120850772,214.7667266845703,223.1198413594564,0.9526643276162328,0.9893192666381968,214.7667266845703,223.1198413594564,0.967991054058075,0.9282832326491673,0.9526643276162328,0.9893192666381968,2489.754348938365,1678.8005242782303,1.8485372692040796,1.0803073301950232,0.9301740812876867,0.9875737933514367,140.31490661621095,1081.972945035089
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,9,2.6663022090823874,0.7222484797239304,0.8801435115933418,nan,0.6979354918003082,4.182359672387441,1000.0,0.0,nan,0,41,0,51587,0.8474070871420983,2.6008930229803653,232.74992243448892,221.84780212402345,1.0323953955791223,0.9832514667532435,232.74992243448892,221.84780212402345,0.8703795075416565,0.9241515306631723,1.0323953955791223,0.9832514667532435,2958.1648312138927,1581.4301893679017,1.8994986486450587,1.0827720903642588,0.9220833759277295,0.9851416178619311,138.6946794128418,1019.8540695698745
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,10,2.733294467102222,0.7272374826669693,0.8507027557492256,nan,0.5859965898773887,4.477636400858561,1000.0,0.0,nan,0,55,0,51101,0.9558354354361019,2.649774716276362,208.04955499822444,220.2908172607422,0.9219110640777796,0.9765836682370728,208.04955499822444,220.2908172607422,0.9811307029290632,0.9207081307967504,0.9219110640777796,0.9765836682370728,2837.5600512004185,1453.978719334315,1.972199003940258,1.0721649679760519,0.9228452635731345,0.9746499105336894,136.75158056640626,934.8135527269982
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,11,2.8063401042248133,0.7318969810009003,0.8256882131099701,nan,0.7703629548733051,4.762649420102437,1000.0,0.0,nan,0,10,0,51584,1.030887197583347,2.7041045367253607,218.29161423903244,218.5305278523763,0.9677075466031254,0.9686418156590996,218.29161423903244,218.5305278523763,0.919769287109375,0.9187263830502828,0.9677075466031254,0.9686418156590996,3169.4878918881,1314.9613147269718,2.034817601068555,1.0715023502917642,0.9187696985543345,0.968603012151982,136.79389868164063,871.3834740252736
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,12,2.90240306910698,0.7361049801111221,0.8044724011421204,nan,0.9052896685898304,5.025415382385254,1000.0,0.0,nan,0,13,0,50579,1.0698939181028877,2.763350374412512,222.38312530517578,216.95451421101887,0.9859022875882715,0.9617876484912274,222.38312530517578,216.95451421101887,0.8883982747793198,0.9155874544382095,0.9859022875882715,0.9617876484912274,3390.6242512089766,1193.1999818867887,2.0859677918886623,1.0826612210645687,0.914881241979537,0.9624140027534884,133.73083853149413,770.1699771514169
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,13,3.006155807457317,0.7397784811258316,0.7856197470426559,nan,0.6493796914815902,5.264344261487325,1000.0,0.0,nan,0,46,0,50850,1.133014231953907,2.8281069075378924,220.02056274414062,215.6462024943034,0.9769483015780391,0.9561935530469869,220.02056274414062,215.6462024943034,0.8874235451221466,0.9110596418380738,0.9769483015780391,0.9561935530469869,3565.860576235693,1085.597145222566,2.1500698373042977,1.0872227404963328,0.9102971871053019,0.9568630610641177,133.78813275146484,722.6754986582533
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,14,3.113464695080045,0.7428094813227654,0.7696625649929046,nan,0.7739340577806745,5.49224456469218,1000.0,0.0,nan,0,8,0,50642,1.1847372259879592,2.898463105617006,211.46035984584265,214.30427647908527,0.937368713076345,0.9499395255258798,211.46035984584265,214.30427647908527,0.9217693294797625,0.907309453288714,0.937368713076345,0.9499395255258798,3589.6297882922745,995.1963030634146,2.212972753765387,1.0970100501464661,0.9076391573060996,0.9496528946231219,131.54301092529298,647.3725988741405
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,15,3.224601887926158,0.7458979800343514,0.7554035913944245,nan,0.7905453211731381,5.662889315287273,1000.0,0.0,nan,0,57,0,50641,1.2370134690981476,2.9723737703826716,220.9848870171441,214.16648198445637,0.9794636726806147,0.9495381116073947,220.9848870171441,214.16648198445637,0.8620255655712552,0.8967941071589788,0.9794636726806147,0.9495381116073947,3955.8559182002477,923.1739112745594,2.278229649868862,1.1074029183647682,0.8957814311904043,0.9504097298910806,132.47761715698243,625.1097532923401
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,16,3.351796133961784,0.7485229820013046,0.7426721549034119,nan,0.9766580939292908,5.808807724316915,1000.0,0.0,nan,0,25,0,51245,1.2812364595448713,3.047270451577319,212.69701538085937,214.32377248128256,0.9427839281599754,0.9500499543620972,212.69701538085937,214.32377248128256,0.8936328113079071,0.8851060505708058,0.9427839281599754,0.9500499543620972,3994.7083369702477,868.1291722921816,2.34085685476434,1.1219863037236395,0.8853811073687768,0.9498155664200932,132.8482037963867,600.7716701147139
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,17,3.4931108815326146,0.7514084801077843,0.7314870142936707,nan,0.7966743572191759,5.964264558156331,1000.0,0.0,nan,0,71,0,50921,1.3356279721890127,3.1251546677907927,219.58107133345172,213.7218443806966,0.9736154391184869,0.9471944751813886,219.58107133345172,213.7218443806966,0.8459688966924493,0.8772857934236526,0.9736154391184869,0.9471944751813886,4165.340475976922,820.5932318785374,2.4093439895500803,1.1326361802427312,0.8761781218350891,0.948128978729003,133.0638901977539,583.9934295986147
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,18,3.5259424846580765,0.7540029814839363,0.7212005740404129,nan,0.7479932265622276,6.088475213050843,1000.0,0.0,nan,0,132,0,51042,1.4315113158317267,3.205181281552434,214.58403124128068,213.48062917073568,0.950958038129267,0.9463738043959713,214.58403124128068,213.48062917073568,0.861496525151389,0.8669848493734995,0.950958038129267,0.9463738043959713,4227.476609847982,779.834533110753,2.495713295264151,1.1268620056971386,0.8667401470196475,0.9465781969828062,134.09673037719728,586.2700649421953
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,19,3.5635188093444774,0.7558729809522629,0.7118354380130768,nan,0.9352701902389526,6.169399418830872,1000.0,0.0,nan,0,41,0,50829,1.4744022798626881,3.2795349817256167,219.06778971354166,214.0160198465983,0.9707812340692293,0.9487850357230938,219.06778971354166,214.0160198465983,0.8260831832885742,0.8526820772886277,0.9707812340692293,0.9487850357230938,4407.142909800295,746.5524437104405,2.5574819009804455,1.1387329691802968,0.8519073522206649,0.9494257016943405,132.35283212280274,527.2600386026695
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,20,3.606044646806133,0.7581209805607796,0.7032892045378685,nan,0.7296066513428321,6.242159787813822,1000.0,0.0,nan,0,115,0,51023,1.5335018148942674,3.3498666630869094,216.21150090144232,214.3877414449056,0.9583262036465343,0.9503160126396392,216.21150090144232,214.3877414449056,0.8294977316489587,0.8392814010381698,0.9583262036465343,0.9503160126396392,4641.843945117576,720.8113291652177,2.623320723809852,1.1421720776695625,0.838875050552356,0.9506487042789034,134.25414389038085,553.1747400721877
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,21,3.64277672169447,0.7598739814758301,0.6957063719630241,nan,0.7477147366319384,6.279583849906921,1000.0,0.0,nan,0,30,0,50596,1.5644286559684804,3.410142458145797,216.87920488630022,215.15709884643556,0.9626939544757797,0.9540133756427364,216.87920488630022,215.15709884643556,0.8123455899102348,0.8230546295642853,0.9626939544757797,0.9540133756427364,4817.741105816318,698.2578636226589,2.67185693727487,1.1527750078396513,0.8228104495070268,0.9542113041503302,132.13056817626952,486.40309365502384
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,22,3.6802425547670325,0.7617389804124832,0.6884073549509049,nan,0.9195640132977412,6.3328854370117185,1000.0,0.0,nan,0,121,0,51233,1.5974238235175051,3.4656134953629816,226.09327110877405,215.28411712646485,1.0019493562399315,0.9544593040001998,226.09327110877405,215.28411712646485,0.7514942219624152,0.810670470992724,1.0019493562399315,0.9544593040001998,4812.910447831012,675.5378303201638,2.7183376266247907,1.1608455569279312,0.8082126715122321,0.9564317342849172,135.04889532470702,530.4583698357046
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,23,3.7112817245375327,0.7634429824352265,0.6820698881149292,nan,1.07944330945611,6.3434239101409915,1000.0,0.0,nan,0,66,0,50430,1.631430259483102,3.512897543891154,217.06981086730957,216.09479832967122,0.9627626555995313,0.957902207682085,217.06981086730957,216.09479832967122,0.7882669121026993,0.7943842718998592,0.9627626555995313,0.957902207682085,4945.108972186483,659.7099104311757,2.760310630127933,1.1652726613691362,0.7942253794375952,0.9580284530825383,133.12999597167968,474.9476898136892
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,24,3.7410249889143614,0.7648109796643258,0.6762091588973999,nan,0.787141140550375,6.35072658141454,1000.0,0.0,nan,0,28,0,50584,1.663626781780418,3.5552199345844246,218.06459617614746,216.58813847859702,0.9678238868977382,0.9602945510881091,218.06459617614746,216.58813847859702,0.769654706120491,0.7792263678709666,0.9678238868977382,0.9602945510881091,4873.474974255608,644.1649104245747,2.7985826734628216,1.167934606506555,0.7789777532800451,0.9604901182519958,133.44191662597657,464.47454584283463
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,25,3.776736410185965,0.7664514809846878,0.6706348866224289,nan,0.7601505517959595,6.390016798973083,1000.0,0.0,nan,0,25,0,50965,1.7302082718189586,3.5936060205067677,202.04073248969183,216.2985823059082,0.8943220205452482,0.958488161145638,202.04073248969183,216.2985823059082,0.8516677949163649,0.7692768394947052,0.8943220205452482,0.958488161145638,4788.236569425149,628.6437471273038,2.8482469210316443,1.1549756490174228,0.7716765760603846,0.9566192444291217,133.41588256835936,463.3745065260349
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,26,3.805997241824718,0.7678754794597625,0.6649553287029266,nan,0.7754397590955099,6.3266681909561155,1000.0,0.0,nan,0,13,0,50485,1.7634121227860127,3.626823354519348,223.37128448486328,217.69201365152995,0.9912277163369358,0.9651594604170771,223.37128448486328,217.69201365152995,0.7144469519456228,0.7482556573549907,0.9912277163369358,0.9651594604170771,5497.855242416971,615.5733816335478,2.881458861826014,1.1534145537157134,0.7475927415626501,0.9656706026900155,133.29566360473632,435.31829188913235
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,27,3.8392006152520457,0.7693394804000855,0.6602994340658188,nan,0.835746748579873,6.267034815152486,1000.0,0.0,nan,0,35,0,51033,1.7985247841579286,3.6564315612921625,212.08276536729602,218.83060078938803,0.939214611165657,0.9702203059131025,212.08276536729602,218.83060078938803,0.7696622477637397,0.7290458898742994,0.939214611165657,0.9702203059131025,5230.6638828582445,605.2398879917434,2.913268850438469,1.1498240353745792,0.7302288905895258,0.9693172274253129,135.11585025024414,457.2958826864944
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,28,3.8764035929842073,0.7707164794206619,0.6554862341284752,nan,0.9597537189722061,6.1638396175702415,1000.0,0.0,nan,0,329,0,50463,1.8207936155826685,3.6836008813023757,209.56228942871093,220.60478256225585,0.9320259927829475,0.9779700523858031,209.56228942871093,220.60478256225585,0.7668086230754853,0.706018668115139,0.9320259927829475,0.9779700523858031,5160.385660490616,597.8772764154471,2.9384779750144925,1.1524215783456926,0.7079796344041824,0.9764879859470015,136.55411532592774,461.93407905908055
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,29,3.9166496163865814,0.7716534799337387,0.6515678510069847,nan,0.6989348642528057,6.111003612677257,1000.0,0.0,nan,0,149,0,50543,1.86049275165222,3.708049730193292,211.71743202209473,221.1518987019857,0.9402031840655081,0.9803068706112447,211.71743202209473,221.1518987019857,0.7434866204857826,0.689890951414903,0.9402031840655081,0.9803068706112447,5327.669739042263,594.264900512071,2.969026938776863,1.145680310451309,0.6912830467154454,0.9792652164152513,136.07861813354492,441.8016561319188
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,30,3.956467050648217,0.7728829783201218,0.6473714062571525,nan,0.7364193201065063,6.13725329875946,1000.0,0.0,nan,0,753,0,50467,1.9174684902326211,3.7324958763074014,220.1074676513672,220.03773549397786,0.9750654104920582,0.9752667775425031,220.1074676513672,220.03773549397786,0.6837993676845844,0.6835275505979855,0.9750654104920582,0.9752667775425031,5737.394996132535,582.5636767144656,3.00648492187749,1.1313492781467032,0.683538840125544,0.9752584140547852,137.74543545532225,498.71047592812533
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,31,3.989207455331555,0.774010980129242,0.6436330208182335,nan,0.8308888631207603,6.021653943459193,1000.0,0.0,nan,0,700,0,49910,1.9559494274688722,3.7557143431214666,207.44022696358817,221.31786743164062,0.9189427330830631,0.981241072122074,207.44022696358817,221.31786743164062,0.7470903992652893,0.6621512792507808,0.9189427330830631,0.981241072122074,5470.196014200118,574.4513277919193,3.0358083768604294,1.1235075519743827,0.6640880018569747,0.9798205888215101,135.6948836364746,421.2535408739532
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,32,4.0425139112252575,0.7749764806032181,0.6400285351276398,nan,0.9323386549949646,5.979141477743784,1000.0,0.0,nan,0,1807,0,48983,2.016668579965096,3.77880291481335,192.22110900878906,221.17150756835937,0.8517185940358173,0.9805225989309546,192.22110900878906,221.17150756835937,0.8270746767520905,0.6496951054533323,0.8517185940358173,0.9805225989309546,5030.792490480879,568.9529834198815,3.0739491808740484,1.1060353757147334,0.6554170271081309,0.9763676310311115,136.5473267211914,441.98763986154654
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,33,4.076049667484963,0.7761224809288979,0.6364486715197564,nan,0.8943866431713104,5.878184549013773,1000.0,0.0,nan,0,1283,0,48937,2.0565990784448944,3.8015954726181085,187.24860229492188,221.87595275878905,0.8300528794661102,0.9837786207056013,187.24860229492188,221.87595275878905,0.845422899723053,0.631595293134451,0.8300528794661102,0.9837786207056013,4899.1547522426945,564.9430891005196,3.103596914948823,1.0974983087786305,0.6351006637342641,0.9812585265869209,134.99805767822266,387.95740098273876
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,34,4.123969904146057,0.7768079793453216,0.6335138535499573,nan,0.7594602749897883,5.864827278852463,1000.0,0.0,nan,0,2833,0,48599,2.0780914851791725,3.824345978790249,219.7029254619892,221.02681950887043,0.975077927686865,0.9797123675881877,219.7029254619892,221.02681950887043,0.6300666148845966,0.6235554697116216,0.975077927686865,0.9797123675881877,5920.0087661561265,556.65986140588,3.1258441813458187,1.0973151741482667,0.6238259006612978,0.9795198828638515,138.328367767334,487.9161447635873
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,35,4.156602192722143,0.7779539826512337,0.630272570848465,nan,0.8677080382000316,5.681966183185577,1000.0,0.0,nan,0,4346,0,46734,2.1232478700780963,3.8464895544578828,204.96410300514916,222.8207048034668,0.9075520307676787,0.9878547776982702,204.96410300514916,222.8207048034668,0.7121223644776777,0.5981673422455788,0.9075520307676787,0.9878547776982702,5819.642370808798,550.4148205791977,3.1571928807059675,1.0861529126892617,0.6021979057328878,0.9850144876139084,138.20163314819337,458.28102450531213
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,36,4.197949912534897,0.7784624794125556,0.6280856987833977,nan,0.6418754508097967,5.4906100591023765,1000.0,0.0,nan,0,4995,0,45469,2.1635330437968854,3.8675248022977256,193.37877400716147,224.64467290242513,0.8573650912522651,0.9958070512607039,193.37877400716147,224.64467290242513,0.771113395690918,0.5726804622014363,0.8573650912522651,0.9958070512607039,5541.284571418023,551.5312797318727,3.1859280988973895,1.07597399944225,0.5765713040345635,0.9930925030252442,137.107349029541,397.4141826961399
