algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,0,1.9060445256894678,0.4577772376686335,1.9727050006389617,nan,0.5635412782430649,0.5640535992383957,1000.0,nan,nan,0,0,0,10662,1.0,1.0,225.4163589477539,225.6212565612793,0.05718133577068404,1.906044525689468,1.0,1.0,959.2692011536615,959.8655770581192,225.4163589477539,225.6212565612793,1.0,1.0,0.4269539737544407,0.7946720006967081,1.0,1.0,50.53424392700195,214.99557623931173
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,1,1.9454988120583148,0.5716434846818447,1.7061178410053253,nan,0.6005147475945322,0.9652935129404068,1000.0,0.0,nan,0,16,0,10948,1.0036345049459519,1.111210487510206,226.48779457493833,250.55853942871093,0.13952891931832828,1.9371454697931076,0.9862788005879051,0.8776216614246368,1111.217777887426,1223.9855336528612,226.48779457493833,250.55853942871093,1.0036345049459519,1.111210487510206,0.4990522294132842,0.8463383022638991,0.8949702802826377,1.0940344902940644,58.718244079589844,287.0233822902944
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,2,2.05442199958071,0.6215809836983681,1.481785678267479,nan,0.6024909079074859,1.5324538469314575,1000.0,0.0,nan,0,17,0,11041,0.9822886307193277,1.02680644771098,221.68819274902344,231.63219100952148,0.23322308401698844,2.0285549313346825,0.9978678226470947,0.9524506860971451,1190.4728427621135,1221.4022826297323,221.68819274902344,231.63219100952148,0.9822886307193277,1.02680644771098,0.5922894534805272,0.9137358372985287,0.96002020885547,1.0193868115457048,55.193965911865234,291.89937023643097
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,3,2.1913264695421195,0.6507762351632118,1.3057699653506278,nan,0.5844318712199176,2.014406923055649,1000.0,0.0,nan,0,128,0,11472,0.9725555220269686,1.0066940193230736,219.3232834427445,227.03656936645507,0.3593285775683262,2.1575170141330364,0.9978257528057805,0.9626475834846496,1326.1564010149577,1317.1257494488432,219.3232834427445,227.03656936645507,0.9725555220269686,1.0066940193230736,0.7189662648812684,0.990160681661234,0.9701264068836303,0.999436228559335,57.25077117919922,335.0375955445763
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,4,2.368721649164588,0.6730879828333854,1.1761399066448213,nan,0.5697779589229159,2.450131278038025,1000.0,0.0,nan,0,24,0,10892,0.9620521560036407,0.9991368369100267,216.9900419447157,225.29836090087892,0.44693039105681637,2.30521055671094,0.9986857506963942,0.9600876152515412,1515.1171701888206,1456.4973456134699,216.9900419447157,225.29836090087892,0.9620521560036407,0.9991368369100267,0.8185864241876412,1.0505343597417394,0.965975466421095,0.9934798516870187,52.871313690185545,345.84368724949155
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,5,2.4541033758208033,0.6903094825148582,1.0818967527151109,nan,0.6915282540851169,2.8406353068351744,1000.0,0.0,nan,0,51,0,11529,0.9678098203450557,0.9982752364542355,218.2715318467882,225.3472929382324,0.5167909527428673,2.430720235568254,0.9825695090823703,0.9505420976877212,1784.4929529386893,1593.4916733959333,218.2715318467882,225.3472929382324,0.9678098203450557,0.9982752364542355,0.8995768093079446,1.0970032608865583,0.9554276350191084,0.9936279695901231,52.92723373413086,382.9400809849794
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,6,2.4955076966686285,0.7020682319998741,1.0115172323584556,nan,0.6730704605579376,3.2042760372161867,1000.0,0.0,nan,0,43,0,10805,0.9689889639188858,0.9967766836669307,218.54612138536243,224.84417495727538,0.588124555546919,2.4758019355355385,0.9710921049118042,0.9415860885381698,2016.7978810988834,1696.0745102287797,218.54612138536243,224.84417495727538,0.9689889639188858,0.9967766836669307,0.9656600315446429,1.1177731105741857,0.9460870062900801,0.9925378789596017,52.836495361328126,411.8196257653157
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,7,2.5396665210698477,0.7102592332661152,0.9576091705262662,nan,0.6407479074868289,3.5364481902122495,1000.0,0.0,nan,0,45,0,11005,0.9596257504505069,0.9963623638546527,216.65358040549538,224.81311401367188,0.6787599997757254,2.514192568629044,0.9707935316996141,0.9313932132720947,2265.183033037079,1726.681652347818,216.65358040549538,224.81311401367188,0.9596257504505069,0.9963623638546527,1.0458465135463895,1.1360540663672067,0.9384981887262376,0.9897377286506264,54.49538034057617,445.00438392319506
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,8,2.594421393361585,0.716786982268095,0.9146376088261604,nan,0.6766552439442387,3.8801176619529723,1000.0,0.0,nan,0,87,0,11623,0.9907086525549391,0.9875354270108424,223.41492094816985,222.93609497070312,0.7722606244501904,2.5563547816026087,0.9267781288535507,0.9302156430482864,2592.0253678690524,1681.172613215801,223.41492094816985,222.93609497070312,0.9907086525549391,0.9875354270108424,1.1290794558806738,1.151866414488284,0.9294848329438938,0.9882100497643117,56.6516247253418,476.20389250808904
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,9,2.6541224569575146,0.7225827303528786,0.8795123660564422,nan,0.678691973288854,4.183735332489014,1000.0,0.0,nan,0,79,0,11657,0.985499354983629,0.9831630881615391,222.39575258890787,221.8409147644043,0.8557130568151345,2.600710074348654,0.921691949168841,0.9242482322454453,2805.730138332148,1582.4126086457354,222.39575258890787,221.8409147644043,0.985499354983629,0.9831630881615391,1.2047124603218382,1.1639448704152227,0.9237534677790057,0.9836152688367822,55.04317907714844,451.1575683690901
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,10,2.720432397537244,0.7274912318587303,0.8502961185574531,nan,0.7486379494269689,4.487560334205628,1000.0,0.0,nan,0,85,0,11457,0.9493215996035996,0.974934997340696,214.19794273376465,219.89923263549804,0.9477494621979128,2.6499234411448906,0.9508373762170473,0.9225301939249039,2938.4486953550622,1454.506753056394,214.19794273376465,219.89923263549804,0.9493215996035996,0.974934997340696,1.2881842579873082,1.1739720100441116,0.9280090034008026,0.9699775655206128,54.261347778320314,431.9468879883218
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,11,2.792561360056282,0.7321169815957547,0.8253606843948365,nan,0.8094026918212572,4.784610724449157,1000.0,0.0,nan,0,30,0,11860,0.9740242185940072,0.9650516330903378,219.63356971740723,217.76007293701173,1.0165114908740114,2.7062590729796154,0.9127181246876717,0.9227340251207352,3208.462608897884,1312.7808739201125,219.63356971740723,217.76007293701173,0.9740242185940072,0.9650516330903378,1.3544610072951322,1.1832883820900004,0.9207954637465938,0.9667882625426608,54.09442593383789,416.5623800111209
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,12,2.881397933603152,0.7359369803965091,0.8041301594674587,nan,0.7142854734607365,5.042692914009094,1000.0,0.0,nan,0,139,0,11939,0.9893798395956558,0.9591878124437101,223.1237454621688,216.45091690063475,1.0914083007786,2.766707089566057,0.8844773458397907,0.9185187613964081,3457.187021186941,1186.4795491658035,223.1237454621688,216.45091690063475,0.9893798395956558,0.9591878124437101,1.4264680585360916,1.1895497009666072,0.9121532934467967,0.9648334760574886,53.55387567138672,396.32651280775997
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,13,2.9804441599614195,0.7398704822361469,0.7854641565680504,nan,0.8363933950662613,5.287924637794495,1000.0,0.0,nan,0,84,0,10468,0.9696318698511467,0.9527969753209337,218.64031600952148,214.9296208190918,1.1365428868911618,2.83346548063881,0.8957557052373886,0.9149277609586716,3575.738915182119,1076.819850833909,218.64031600952148,214.9296208190918,0.9696318698511467,0.9527969753209337,1.4759274056406917,1.1995552694294886,0.9117324183384578,0.9556027910759691,51.731536804199216,358.3935267740665
