algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,balance_threshold_honest,balance_threshold_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,sigma_n_honest,sigma_n_attacker,balance_kept_honest,balance_kept_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.8324557564165254,0.8382736466328303,0.7244476705789566,nan,0.7710604918630499,4.636126413345337,1000.0,nan,nan,0,0,0,32034,209.1904706453022,213.5700128173828,9.963399020589897,26.128206870091,0.9385336448386723,2.7719235038938463,0.9757674556029471,0.9533994409441948,209.1904706453022,213.5700128173828,2258.450090059976,1751.134724440553,5.360752908807052,14.058140268325806,0.9267639309406306,0.9470033475710465,60.10526315789474,154.46,0.9267639309406306,0.9470033475710465,1.6718895884607419,1.2269630919309888,0.9553400449556847,0.9452474164478599,93.3772430114746,786.2749931985005
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.9225956702765625,0.8436159793535868,0.6827646507819494,nan,0.8838460312949287,4.916050710678101,1000.0,nan,nan,0,0,0,31680,210.29856448703342,212.51576698303222,9.98414487131388,29.98298662015367,1.00709530708647,2.8453836531823997,0.9593348999818166,0.9484124279022217,210.29856448703342,212.51576698303222,2501.3372595891697,1744.252812056747,5.407847510443793,16.240090827941895,0.9322633200080644,0.9420480433387888,53.5,153.585,0.9322633200080644,0.9420480433387888,1.742410645524842,1.2388013711280474,0.9493142833950323,0.9412401304032243,92.57705511474609,787.7492661679089
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,3.0310207871750876,0.8478313134113947,0.6485277942816416,nan,0.9096815586090088,5.18063460111618,1000.0,nan,nan,0,0,0,30700,209.852914983576,211.2109210205078,9.958390368829022,34.0923006037591,1.0505428460040738,2.9254320849626105,0.9500361951914701,0.9439676314592361,209.852914983576,211.2109210205078,2697.1517459749516,1701.0136563578521,5.429977200248024,18.589391269683837,0.9312343562979897,0.9366166894936285,39.0,151.355,0.9312343562979897,0.9366166894936285,1.8004985415874888,1.2573818483900543,0.9442840020803479,0.9363360939241876,89.10113253784179,739.7428009545898
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,3.140319813624564,0.8513499762614568,0.6198985709746678,nan,0.8688288892016691,5.43635085105896,1000.0,nan,nan,0,0,0,30976,212.54019703584558,209.86897171020507,10.020174687441465,38.424829048332555,1.1032837096224308,3.014702852754118,0.9265543327612036,0.9409359344840049,212.54019703584558,209.86897171020507,2944.0176576552717,1626.8113050958304,5.50021224863389,21.09191925048828,0.9425877357438606,0.9299593169817493,37.0,151.735,0.9425877357438606,0.9299593169817493,1.8678513668751058,1.276341978775885,0.939809265224615,0.9309486401105783,91.17395538330078,750.8211223986114
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,3.2832246853141047,0.8547096447149912,0.595413312514623,nan,0.9523765047391256,5.671397936344147,1000.0,nan,nan,0,0,0,30632,207.91099378797742,208.4122344970703,9.942195942564519,42.9580424504664,1.1397392877407986,3.1124410790995523,0.9421774413850572,0.9370246440172195,207.91099378797742,208.4122344970703,3097.2910746193,1537.395718311257,5.493912908766005,23.7379896068573,0.9196267529225365,0.9241063797496075,42.55555555555556,151.245,0.9196267529225365,0.9241063797496075,1.9288200042843002,1.3023591318708085,0.9372465348129637,0.9239134771589681,87.10729168701172,670.7095266676502
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,3.4599427200884456,0.8574953116973241,0.5745848272244135,nan,0.9323403108865023,5.90280377626419,1000.0,nan,nan,0,0,0,31250,209.7518129348755,206.8052660369873,9.926794480822462,47.66288658957018,1.1941910460915315,3.2232004590283156,0.9177841804921627,0.9349002319574357,209.7518129348755,206.8052660369873,3326.3499121696814,1435.9563140327873,5.522093802690506,26.513990106582643,0.9314717880637763,0.9167398660427141,45.8125,152.585,0.9314717880637763,0.9167398660427141,2.005794811266245,1.3276233381503189,0.9336323762933413,0.9178311195257558,89.43416442871094,680.8257228025449
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,3.506551114931016,0.8599156457185745,0.5564424699544906,nan,1.0183330151167782,6.0922573280334475,1000.0,nan,nan,0,0,0,31002,205.95779835094106,206.0000708770752,9.890725404163243,52.5266808899222,1.2254196681058496,3.3403031700623584,0.929807104847648,0.9284131234884262,205.95779835094106,206.0000708770752,3460.403307536449,1350.4214775585767,5.538831970908425,29.415078020095827,0.9119582285998448,0.9131461011570401,53.09090909090909,152.09,0.9119582285998448,0.9131461011570401,2.0713730688884535,1.3631007754411757,0.9284857955024141,0.9130841741516886,86.93109991455079,616.2974637892326
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,3.5414060893609975,0.8619356443484624,0.540779793659846,nan,0.7701849471777678,6.277973763942718,1000.0,nan,nan,0,0,0,31054,207.1548547744751,204.86699172973633,9.837933583518605,57.505834479967795,1.2981283113095627,3.4431224669291707,0.9122839383780956,0.923534378707409,207.1548547744751,204.86699172973633,3677.702455751047,1261.027479714034,5.546119570732117,32.4188236618042,0.9176677716371847,0.9081761709601262,40.125,152.06,0.9176677716371847,0.9081761709601262,2.156125973557406,1.376907010698318,0.9227010127570894,0.90887925249176,88.57575204467773,622.0974704696471
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,3.5838546506320306,0.8640046453475952,0.5269031316041947,nan,0.8340717889368534,6.4821646118164065,1000.0,nan,nan,0,0,0,30858,209.83509826660156,202.88281425476075,9.831201972626703,62.59101298652695,1.3638182810895099,3.5159130378961048,0.8856582827866077,0.9231583589315414,209.83509826660156,202.88281425476075,3900.749499458457,1183.4792286047216,5.579396903514862,35.521608142852784,0.9307764417212301,0.8994537451917124,35.0,151.49,0.9307764417212301,0.8994537451917124,2.2246561838121477,1.3805942173338082,0.9203805755133982,0.9017739449346396,87.86784884643555,598.2156754245593
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,3.6354067427593626,0.8656033128499985,0.5147458961606026,nan,0.9417090036652305,6.642258830070496,1000.0,nan,nan,0,0,0,31020,201.35541742498225,201.78853309631347,9.84372009612177,67.79352282953857,1.4118108449154638,3.565740900653606,0.9208426746455106,0.9181395605206489,201.35541742498225,201.78853309631347,3971.8372934228387,1115.4704057853937,5.623868942260742,38.73148401260376,0.8924190071637838,0.8946543720794294,53.81818181818182,152.14,0.8924190071637838,0.8946543720794294,2.273382867210721,1.3817692480804127,0.9182804811622294,0.8945378364677133,85.145232421875,533.5685827694599
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,3.6862252678519907,0.8671573132276535,0.5038357884685198,nan,0.7797818561395009,6.7998860383033755,1000.0,nan,nan,0,0,0,30732,201.1309377034505,200.47037269592286,9.754054211875797,73.07042803533814,1.463698134690784,3.6084978124079714,0.909651509920756,0.9143807229399681,201.1309377034505,200.47037269592286,4114.850995987415,1054.5276908953188,5.609916496276855,42.025499420166014,0.89270184040002,0.8888298882633342,32.333333333333336,151.235,0.89270184040002,0.8888298882633342,2.321618005777659,1.3800957249246648,0.9140507778456045,0.889100024458917,86.22207720947266,545.2566062377499
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,3.739478802440682,0.8685133115450541,0.4940817532936732,nan,0.9348542392253876,6.948313813209534,1000.0,nan,nan,0,0,0,30810,204.8383903503418,199.16481025695802,9.755360314923433,78.41657756676639,1.4977420161985624,3.6500447895852415,0.8794919649759928,0.9108249285817146,204.8383903503418,199.16481025695802,4334.308407525075,1002.2021935428534,5.648197094599406,45.40194019317627,0.9082661606734708,0.8828681539951155,40.833333333333336,151.6,0.9082661606734708,0.8828681539951155,2.358663125553234,1.384470215980094,0.9090513646040322,0.8843057770146451,84.5820454711914,504.9042791977431
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,3.798097309717945,0.8698383108774821,0.48527286847432455,nan,0.9350068506441618,7.06326979637146,1000.0,nan,nan,0,0,0,31378,206.23794314735815,198.35649688720704,9.76096057370034,83.82055149132573,1.5534447937257747,3.693174565254825,0.8606157616565102,0.9042608538269996,206.23794314735815,198.35649688720704,4548.687334465668,958.3104812336518,5.689241685365376,48.8553736114502,0.9143772693728114,0.8793512624671886,43.68421052631579,152.74,0.9143772693728114,0.8793512624671886,2.409336702337395,1.3815188299962498,0.9004742933190577,0.8823900484544346,87.17964059448242,556.1743112031561
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,3.8582945622575417,0.8708789799610773,0.4773714018861453,nan,0.9838805565467248,7.1597378015518185,1000.0,nan,nan,0,0,0,30674,196.30638122558594,197.73639793395995,9.793251314887899,89.2510571065301,1.6185789953741125,3.738139607357797,0.90300085911384,0.8967077362537385,196.30638122558594,197.73639793395995,4567.637017738158,923.95975096591,5.746243440187895,52.36854288101196,0.8716026793513432,0.8766027769283758,33.07692307692308,151.22,0.8716026793513432,0.8766027769283758,2.466403240167587,1.3739062679770258,0.8970918235644488,0.8762976066537211,84.19852508544922,488.342462847556
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,3.9199827650752175,0.8718243112166723,0.4702171422044436,nan,0.8205784300963084,7.253122992515564,1000.0,nan,nan,0,0,0,30930,204.39366455078124,197.0463655090332,9.689763162541356,94.6914065899736,1.6734563192787448,3.7847065868398215,0.8472693701585133,0.8900558543205261,204.39366455078124,197.0463655090332,4794.663196396052,888.9877876455764,5.723551305135091,55.93233959197998,0.9067700297381098,0.8731129892191877,38.13333333333333,151.79,0.9067700297381098,0.8731129892191877,2.5179564263031757,1.3699922510929237,0.8870707507743392,0.8754611548367869,84.95035614013672,499.4350109501122
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,3.9729753131748984,0.8728789766629537,0.46364581912755964,nan,0.7355416417121887,7.347210252285004,1000.0,nan,nan,0,0,0,30858,188.31680043538412,195.99465354919434,9.605344969448437,100.13683289679494,1.7516144318361497,3.8340405406050286,0.9279683927694956,0.884628147482872,188.31680043538412,195.99465354919434,4568.53125156543,859.1201485130505,5.71163809299469,59.54448810577392,0.8348990551884136,0.8686524721561429,42.833333333333336,151.72,0.8348990551884136,0.8686524721561429,2.584584875343701,1.357080925946827,0.8870813689141903,0.8667419013843844,82.91746463012696,453.2928094427905
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,4.031676973488618,0.8737616439660391,0.4575504465897878,nan,0.9250296308444097,7.4109030532836915,1000.0,nan,nan,0,0,0,30894,197.74895418607272,195.3970458984375,9.688129431132166,105.58697581103864,1.8123153688142974,3.8854266676486025,0.8635489023648776,0.8766086754202843,197.74895418607272,195.3970458984375,4850.654600531683,835.3782403562093,5.79939838556143,63.20528038024902,0.8762624210197646,0.8661926622951586,41.46153846153846,151.775,0.8762624210197646,0.8661926622951586,2.6415598883480196,1.3522798580719109,0.8758116000694848,0.8668072485083974,83.3002911682129,460.2683157563076
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,4.095274548275076,0.8744999792178472,0.45222044169902803,nan,0.9735430023249458,7.484248270988465,1000.0,nan,nan,0,0,0,31368,199.86578279383042,194.42817375183105,9.573540101581537,111.01533099674961,1.864925332689387,3.9394645076774,0.8403286583283368,0.8707445457577705,199.86578279383042,194.42817375183105,5130.283077871013,810.3523828474833,5.769137214211857,66.89925258636475,0.8852693224022543,0.8620504576365665,48.411764705882355,152.725,0.8852693224022543,0.8620504576365665,2.694741002684592,1.3520663029320001,0.8683617343001652,0.8638694470421735,84.56670611572265,498.57057778660777
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,4.175491643832552,0.8753289783000946,0.4471261183420817,nan,0.9254944604985854,7.511261882781983,1000.0,nan,nan,0,0,0,31238,188.3110782398897,194.26531700134277,9.556601796556318,116.42891928977464,1.9232722934090172,3.994789638455903,0.8952333541477427,0.8604654973745346,188.3110782398897,194.26531700134277,4954.92152764978,792.1871339551228,5.7974511034348435,70.63085613250732,0.8349646690377114,0.8612416499121633,43.64705882352941,152.48,0.8349646690377114,0.8612416499121633,2.751879231427772,1.352351132544907,0.8631892465226662,0.8591830845902018,84.10870346069336,485.3421855221417
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,4.261259752206885,0.8760119773944219,0.4423700903852781,nan,0.8374589774757624,7.5349621891975405,1000.0,nan,nan,0,0,0,31418,196.63340282440186,194.01585456848144,9.460239096250685,121.78946677275844,1.969493739099543,4.0514129645947365,0.8339853584766388,0.8507634162902832,196.63340282440186,194.01585456848144,5304.9420956737595,774.5934194866611,5.777381062507629,74.37699531555175,0.8724862755151122,0.8599318661184353,51.0,153.01,0.8724862755151122,0.8599318661184353,2.8022614292976202,1.3561899590132764,0.8495205971929762,0.8608618223700409,83.89861071777344,479.5955148562247
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,4.345322452599524,0.8766303126017253,0.438145932952563,nan,0.9139815216714685,7.5889747834205625,1000.0,nan,nan,0,0,0,31504,191.9771964333274,192.910849609375,9.507702181042829,127.09420003611504,2.051912172726258,4.1110499509133165,0.8513950881632891,0.8453111201524734,191.9771964333274,192.910849609375,5229.024965267788,760.6046284457968,5.845205263658003,78.13577590942383,0.8509074470531535,0.8554145614096106,42.36363636363637,152.86,0.8509074470531535,0.8554145614096106,2.8755672840010815,1.343425418527997,0.845914035901293,0.8549679104373491,85.61133648681641,534.3189498501014
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,4.43956953592542,0.8771793123086293,0.4341987611850103,nan,1.1264073451360066,7.561275846958161,1000.0,nan,nan,0,0,0,30888,192.16903177897134,193.33807983398438,9.523926111521552,132.36790322459063,2.086142224213033,4.170536979790071,0.8368876030047735,0.8315938806533814,192.16903177897134,193.33807983398438,5383.240288405539,744.6590774823723,5.894344449043274,81.92230876922608,0.8530812473228861,0.8569639118686111,43.833333333333336,151.81,0.8530812473228861,0.8569639118686111,2.919900126443848,1.3526404416038098,0.8318935253147809,0.8567441384037587,81.94728869628906,427.0613979146819
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,4.530576460806417,0.8778089781602224,0.43052382707595827,nan,1.0236916014781365,7.580615038871765,1000.0,nan,nan,0,0,0,30856,178.1519552377554,192.6358348083496,9.456944650452783,137.54515111544663,2.145613244097008,4.233187385613096,0.9120655793410081,0.8238271754980088,178.1519552377554,192.6358348083496,5118.532682103808,734.9893037587539,5.8920393356910115,85.6959061050415,0.7900025319608509,0.854076763944364,40.15384615384615,151.67,0.7900025319608509,0.854076763944364,2.980642900703443,1.3508065909514677,0.8292126179860791,0.8501661300674362,81.68628475952148,427.0775712382005
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,4.6636296226694665,0.8782636465628942,0.42714048355817796,nan,1.0184034233291943,7.606351585388183,1000.0,nan,nan,0,0,0,30810,189.11173884073892,191.80155982971192,9.524503461332854,142.66420680186127,2.188682270197526,4.299514822540635,0.833278144399325,0.8173922190070152,189.11173884073892,191.80155982971192,5389.461315230959,722.094315607065,5.973824103673299,89.47982231140136,0.838784032305062,0.8502048010971223,40.833333333333336,151.6,0.838784032305062,0.8502048010971223,3.0330152911347694,1.355946332381095,0.8182914223311082,0.8495583424862508,81.2593056640625,418.184797808369
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,4.799643325129665,0.8788359769185384,0.4240818969408671,nan,1.1384452218594758,7.549641010761261,1000.0,nan,nan,0,0,0,32356,190.40816862686822,192.2190347290039,9.58822218914011,147.7303763590587,2.2340233411577155,4.363262548855004,0.8147990703582764,0.8027811956405639,190.40816862686822,192.2190347290039,5578.802101938418,710.6419159271447,6.054014724233876,93.27713272094726,0.8435908482296347,0.8521448147963815,58.69565217391305,155.03,0.8435908482296347,0.8521448147963815,3.0857190242366306,1.3645887656118272,0.8040207073827496,0.851262567123578,85.6463896484375,540.8816630600251
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,4.927870818709717,0.8793033111095429,0.42107404480377836,nan,1.0298874725898106,7.517707397937775,1000.0,nan,nan,0,0,0,30774,188.69146855672201,192.07134437561035,9.32495517893971,152.6780091448808,2.2725658643444158,4.430120617053554,0.8120832492907842,0.79151437997818,188.69146855672201,192.07134437561035,5715.452106168752,704.3033800604047,5.9271706740061445,97.04589469909668,0.8371107858021385,0.8516054230257114,40.0,151.47,0.8371107858021385,0.8516054230257114,3.1355877654280713,1.374332723475539,0.7926786555996481,0.8507849718621129,81.35713299560547,418.892202572212
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,5.047448809037196,0.8796446444590886,0.41830842514832817,nan,0.778454010685285,7.496320683956146,1000.0,nan,nan,0,0,0,30930,184.7748819986979,191.76150482177735,9.23973501815222,157.53021292462995,2.3164935370449475,4.4975788353386035,0.8246771519382795,0.7819390159845352,184.7748819986979,191.76150482177735,5898.454649656393,696.1862997274796,5.912286798159282,100.79983856201171,0.8199949265830417,0.8498123122583743,45.666666666666664,151.91,0.8199949265830417,0.8498123122583743,3.18892765636241,1.3790076542556065,0.7843581557555018,0.8481245357107139,81.13919909667969,420.03743148274526
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,5.170632556730763,0.8800806450843811,0.41578164279460905,nan,1.0884045281193473,7.431071443557739,1000.0,nan,nan,0,0,0,30268,182.39981217817828,192.00136711120606,9.410403791621022,162.2951624383837,2.365323884625601,4.563774957445154,0.8289200988682833,0.7683624601364136,182.39981217817828,192.00136711120606,5658.03939141582,688.573984311427,6.0617710893804375,104.54345481872559,0.8089050916310757,0.8507343316855126,20.636363636363637,150.205,0.8089050916310757,0.8507343316855126,3.244704313753422,1.3816471746816452,0.7715194934352314,0.8485536604030537,80.81334271240235,399.9064603357188
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,5.249454651979296,0.8804279766480128,0.4135181767741839,nan,1.0964188997944195,7.407609241008759,1000.0,nan,nan,0,0,0,31402,192.17852401733398,191.2837321472168,9.32011314038827,166.94048549489708,2.402337097867221,4.632677950909378,0.7552509158849716,0.7596286305785179,192.17852401733398,191.2837321472168,6119.132963323158,680.8815527029504,6.04376757144928,108.25506916046143,0.8512358627786925,0.8482421126392343,38.375,152.405,0.8512358627786925,0.8482421126392343,3.2944734390840846,1.3975011592807371,0.7591595897184951,0.8485628715827477,85.73806201171875,566.0710033206918
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,5.339550484909258,0.8807249782482783,0.41122039407491684,nan,1.0113727404521062,7.303975429534912,1000.0,nan,nan,0,0,0,30658,172.95918626051682,191.90065727233886,9.153381667641792,171.4986718684929,2.444763344440485,4.699648616013398,0.8664740094771752,0.7431854425370693,172.95918626051682,191.90065727233886,5625.087416015119,677.7103916374715,5.97535122357882,111.9547764968872,0.76746156430582,0.8509349360996459,33.07692307692308,151.14,0.76746156430582,0.8509349360996459,3.34671745306965,1.4069212324945781,0.7507100968573575,0.8458403171638725,81.25720175170899,417.33642947138173
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,5.414028198787287,0.8810743111371994,0.4091160956025124,nan,1.168456894159317,7.227320611476898,1000.0,nan,nan,0,0,0,31066,177.8933837890625,192.02983993530273,9.290481163547218,175.91085191187855,2.4869793139544654,4.767500832817375,0.8222019513448079,0.7299975660443306,177.8933837890625,192.02983993530273,5872.864839651872,674.2436391733584,6.105417537689209,115.60318367004395,0.7895016421952346,0.8513080899945382,42.733333333333334,152.125,0.7895016421952346,0.8513080899945382,3.399187921499629,1.4169483881042333,0.7364304301350616,0.8469960122410984,82.14873748779297,445.8834008588995
